ApplyEyeMakeup,ApplyLipstick,Archery,BabyCrawling,BalanceBeam,BandMarching,BaseballPitch,Basketball,BasketballDunk,BenchPress,Biking,Billiards,BlowDryHair,BlowingCandles,BodyWeightSquats,Bowling,BoxingPunchingBag,BoxingSpeedBag,BreastStroke,BrushingTeeth,CleanAndJerk,CliffDiving,CricketBowling,CricketShot,CuttingInKitchen,Diving,Drumming,Fencing,FieldHockeyPenalty,FloorGymnastics,FrisbeeCatch,FrontCrawl,GolfSwing,Haircut,HammerThrow,Hammering,HandstandPushups,HandstandWalking,HeadMassage,HighJump,HorseRace,HorseRiding,HulaHoop,IceDancing,JavelinThrow,JugglingBalls,JumpRope,JumpingJack,Kayaking,Knitting,LongJump,Lunges,MilitaryParade,Mixing,MoppingFloor,Nunchucks,ParallelBars,PizzaTossing,PlayingCello,PlayingDaf,PlayingDhol,PlayingFlute,PlayingGuitar,PlayingPiano,PlayingSitar,PlayingTabla,PlayingViolin,PoleVault,PommelHorse,PullUps,Punch,PushUps,Rafting,RockClimbingIndoor,RopeClimbing,Rowing,SalsaSpin,ShavingBeard,Shotput,SkateBoarding,Skiing,Skijet,SkyDiving,SoccerJuggling,SoccerPenalty,StillRings,SumoWrestling,Surfing,Swing,TableTennisShot,TaiChi,TennisSwing,ThrowDiscus,TrampolineJumping,Typing,UnevenBars,VolleyballSpiking,WalkingWithDog,WallPushups,WritingOnBoard,YoYo
2,0,2,13,3,7,0,0,0,0,2,0,2,4,3,9,0,2,0,5,4,6,4,0,3,2,2,0,10,3,0,0,0,24,2,1,0,13,13,1,0,1,3,0,1,1,0,0,0,3,0,11,3,2,9,0,3,0,0,0,8,5,0,0,2,0,2,1,2,1,0,1,1,14,3,0,1,0,2,7,3,1,7,0,0,0,1,0,5,0,0,0,2,2,0,2,0,3,1,0,2
0,0,2,1,0,6,1,0,2,0,3,0,0,1,5,0,0,0,6,5,2,2,2,2,2,5,0,0,2,3,7,4,1,1,76,0,4,1,0,9,4,1,4,0,2,0,0,0,2,0,9,8,4,18,7,2,2,5,0,1,2,0,0,0,2,0,0,19,5,0,2,2,3,7,1,3,0,0,3,14,5,1,1,0,0,6,4,1,2,4,0,0,11,2,0,1,3,1,2,2,1
1,0,0,12,1,0,0,1,2,6,7,0,0,6,1,10,3,0,7,1,0,0,1,0,3,5,17,0,0,2,0,2,0,9,3,3,0,5,1,1,0,1,1,0,2,0,0,7,11,0,2,2,4,3,4,0,0,0,0,0,4,0,1,0,0,1,4,7,2,1,0,0,6,9,11,0,2,0,2,0,2,0,1,0,0,7,13,0,2,1,0,0,2,8,0,0,0,1,0,0,1
0,0,1,24,1,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,5,0,22,0,0,0,0,0,2,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,21,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,38,0,1,0,0,27,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,6,3,0,0,0
0,1,0,0,0,1,0,0,7,0,0,1,0,0,1,1,0,0,3,0,0,0,2,3,1,1,0,3,7,3,9,1,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,2,5,0,2,9,0,0,0,1,0,0,0,0,0,2,1,1,1,0,1,1,0,6,2,0,5,9,7,2,12,1,0,2,5,3,2,0,1,0,1,1,0,4,2,2,1,0,0
3,1,1,7,1,7,1,0,2,0,2,0,2,2,2,3,4,1,0,8,2,4,0,0,1,3,6,4,0,6,1,7,0,4,0,1,0,3,9,7,1,0,0,0,2,0,0,0,4,2,4,7,2,3,4,1,1,5,0,2,27,1,0,0,1,0,0,9,0,0,2,0,0,11,12,0,1,9,1,0,8,0,0,1,0,1,5,0,2,0,0,0,1,6,0,3,3,3,1,0,1
0,0,1,0,2,3,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,3,0,1,1,10,0,0,2,1,0,0,0,2,0,5,1,2,0,4,4,0,0,0,2,0,14,0,5,0,0,0,0,0,0,0,1,1,0,1,0,0,0,6,2,0,1,0,0,0,2,2,3,0,7,1,7,16,3,2,0,2,1,7,1,2,1,0,0,4,0,2,0,5,1,6,1
0,0,0,2,0,0,2,2,0,1,9,0,0,0,0,0,1,1,0,1,1,4,1,0,0,9,0,3,1,8,0,7,0,1,0,0,0,3,4,6,47,15,0,5,7,0,2,0,20,2,5,1,2,0,5,0,1,1,0,0,1,0,0,0,0,0,0,15,4,0,7,0,21,1,2,12,2,1,0,1,11,20,1,14,1,3,4,15,8,0,0,1,1,2,0,0,5,3,0,0,0
1,0,0,0,6,6,1,1,5,0,4,0,2,0,0,2,0,0,0,1,2,2,0,1,3,9,1,3,3,6,4,3,0,0,3,0,0,3,3,6,4,29,0,5,6,0,0,1,15,2,3,2,4,0,2,1,1,6,0,0,1,0,0,0,1,0,0,15,1,0,15,2,7,0,2,3,1,0,2,4,7,7,5,9,0,2,5,11,9,0,1,1,2,5,0,8,3,7,0,0,1
0,0,0,7,0,0,0,0,0,0,0,0,2,0,5,0,12,4,0,13,0,0,0,2,0,5,0,0,0,1,0,0,0,2,0,1,4,9,0,0,1,0,8,0,2,0,2,8,22,1,3,6,0,0,3,0,0,0,3,0,1,3,0,0,0,0,5,0,0,3,0,0,0,0,4,0,4,1,2,1,0,0,5,1,0,2,0,0,0,0,0,0,2,8,1,0,0,1,5,4,12
0,0,0,1,4,0,2,0,4,0,11,0,0,0,0,4,0,0,2,1,2,0,1,3,0,0,0,1,1,16,5,2,1,0,1,1,0,1,0,12,3,5,0,254,6,0,0,0,1,0,5,8,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,7,0,0,1,2,4,3,2,2,4,7,4,4,2,2,3,5,1,1,0,2,5,2,2,0,3,0,6,0,2,1
0,0,1,0,4,6,0,3,1,0,2,0,0,0,1,1,0,1,0,1,0,3,0,0,1,0,0,1,2,2,5,2,0,0,1,0,1,0,0,5,0,4,0,9,4,0,0,0,2,0,3,1,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,9,2,0,5,0,3,0,1,3,1,0,4,6,0,0,4,3,0,0,1,2,3,0,2,2,1,3,0,15,1,2,0,0,0
5,1,5,1,2,0,0,3,0,0,2,21,1,2,0,12,8,18,9,0,8,9,0,0,0,26,1,0,0,1,4,0,0,3,1,0,0,20,10,2,0,0,30,0,0,5,4,0,0,0,0,3,0,0,5,31,0,4,4,0,23,2,1,0,0,1,1,11,2,0,0,0,0,0,4,0,0,2,0,1,26,0,0,1,0,2,0,2,1,4,0,0,4,3,0,0,1,0,0,4,1
